kind,observed,intended,count,source,fitted_on
substitution,a,d,5,output/20260830_line_end_chars.csv,2026-09-18
substitution,a,e,15,output/20260830_line_end_chars.csv,2026-09-18
substitution,a,f,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,a,g,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,a,h,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,a,i,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,a,o,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,a,s,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,a,y,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,a,z,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,b,a,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,b,f,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,b,l,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,b,n,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,b,r,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,b,s,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,b,t,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,c,d,6,output/20260830_line_end_chars.csv,2026-09-18
substitution,c,e,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,c,o,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,c,p,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,c,r,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,c,v,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,c,z,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,c,ß,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,d,a,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,d,b,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,d,e,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,d,g,27,output/20260830_line_end_chars.csv,2026-09-18
substitution,d,i,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,d,k,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,d,l,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,d,n,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,d,o,10,output/20260830_line_end_chars.csv,2026-09-18
substitution,d,s,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,d,t,5,output/20260830_line_end_chars.csv,2026-09-18
substitution,d,z,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,a,39,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,d,16,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,f,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,g,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,h,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,i,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,l,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,m,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,n,6,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,o,30,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,r,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,s,13,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,t,35,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,w,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,y,9,output/20260830_line_end_chars.csv,2026-09-18
substitution,e,z,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,f,b,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,f,e,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,f,g,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,f,l,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,f,n,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,f,r,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,f,t,13,output/20260830_line_end_chars.csv,2026-09-18
substitution,f,ß,12,output/20260830_line_end_chars.csv,2026-09-18
substitution,g,b,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,g,d,9,output/20260830_line_end_chars.csv,2026-09-18
substitution,g,e,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,g,f,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,g,i,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,g,k,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,g,l,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,g,m,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,g,n,9,output/20260830_line_end_chars.csv,2026-09-18
substitution,g,s,17,output/20260830_line_end_chars.csv,2026-09-18
substitution,g,t,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,g,z,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,g,ß,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,h,a,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,h,e,4,output/20260830_line_end_chars.csv,2026-09-18
substitution,h,f,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,h,k,4,output/20260830_line_end_chars.csv,2026-09-18
substitution,h,n,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,h,s,4,output/20260830_line_end_chars.csv,2026-09-18
substitution,h,z,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,h,ß,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,i,a,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,i,b,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,i,d,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,i,e,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,i,f,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,i,k,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,i,l,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,i,n,8,output/20260830_line_end_chars.csv,2026-09-18
substitution,i,r,8,output/20260830_line_end_chars.csv,2026-09-18
substitution,i,t,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,i,u,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,i,y,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,j,e,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,j,i,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,k,d,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,k,e,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,k,h,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,k,i,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,k,l,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,k,m,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,k,n,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,k,r,4,output/20260830_line_end_chars.csv,2026-09-18
substitution,k,z,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,b,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,d,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,e,10,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,f,4,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,g,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,h,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,i,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,k,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,m,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,n,12,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,p,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,r,7,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,s,4,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,t,2,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,y,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,z,3,output/20260830_line_end_chars.csv,2026-09-18
substitution,l,ß,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,m,d,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,m,e,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,m,g,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,m,i,1,output/20260830_line_end_chars.csv,2026-09-18
substitution,m,l,5,output/20260830_line_end_chars.csv,2026-09-18
substitution,m,n,39,output/20260830_line_end_chars.csv,2026-09-18
substitution,m,r,4,output/20260830_line_end_chars.csv,2026-09-18
